model,BERTScore_F1,ROUGE_L,Citation_EM,Citation_Precision,Citation_Recall,Citation_F1,Cosine_Sim,Readability
Inference_model1,0.7089970091453421,0.1663183239004531,0.08398133748055987,0.128564022809746,0.1456713322965267,0.13032659409020217,0.6996811189649635,43.786798498957666
FT_model2,0.6891077112632443,0.13693897362549654,0.19906687402799378,0.208398133748056,0.20930533955417316,0.2074650077760498,0.6035230341215342,47.505300903765665
RAG_model3,0.6778684874900949,0.14026807576627007,0.2317262830482115,0.2332814930015552,0.23224468636599277,0.23250388802488337,0.5451873363130385,45.34156638430397
