model_a,model_b,rouge1_mean,rouge2_mean,rougeL_mean,bleu_mean,bleu_a_as_pred,bleu_b_as_pred
Model1_API_Llama70B,Model2_Finetuned_Gemma2B,0.3484383643916187,0.10766459297959394,0.18396277178863304,5.7072984529396535,5.425577416352315,5.989019489526992
Model1_API_Llama70B,Model3_RAG_Gemma2B,0.31692170627267263,0.10514956525405911,0.18637455056337246,7.882063480225122,7.882139944247633,7.881987016202612
Model2_Finetuned_Gemma2B,Model3_RAG_Gemma2B,0.332660411606481,0.10360236223218232,0.17927046895907536,10.954363067519118,11.489320970229555,10.419405164808682
